Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
58,Addison,"THAT ITALIAN PLACE, INC.",210701494.0,6.0,750261.43,677680.81,72580.62,308120.0,235539.38,72580.62,24677.84,21048.75,3629.09
59,Addison,Tiger Zinda Hai Inc,210700077.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Addison,"UNDERSCORE, INC.",170701243.0,5.0,1788123.88,1635163.74,152960.14,642733.0,489772.86,152960.14,51642.48,43994.45,7648.03
61,Addison,"VENUTI MANAGEMENT, INC.",190701346.0,6.0,6279825.43,5762535.75,517289.68,2139381.0,1622091.32,517289.68,175878.96,150014.38,25864.58
62,Albany,KJM LLC,170702514.0,6.0,6642019.69,6082028.36,559991.33,2611921.0,2051906.19,560014.81,189784.1,161783.23,28000.87
63,Albany,LEXMO LLC,150701718.0,5.0,1714066.99,1547369.23,166697.76,616015.0,449317.13,166697.87,55934.64,47599.74,8334.9
64,Albers,"PETE'S BAR AND GRILL, INC.",150702131.0,5.0,9437679.88,8633801.9,803877.98,3392011.0,2588133.21,803877.79,272402.2,232208.23,40193.97
65,Albion,"Albion Lodge No. 621, Loyal Order of Moose'",140900593.0,4.0,245947.78,228875.85,17071.93,70486.0,53414.07,17071.93,5649.36,4795.78,853.58
66,Albion,"Albion Browns Post #590 American Legion, Inc.",130905306.0,4.0,6595760.32,6141737.54,454022.78,1133761.0,679738.08,454022.92,153917.32,131216.16,22701.16
67,Albion,"Edwards County Memorial Post #8222 Veterans Of Foreign Wars of the United States, Inc.",130903919.0,4.0,2592985.77,2394714.05,198271.72,529134.0,330775.4,198358.6,67193.28,57275.38,9917.9
68,Albion,"El Gallito Mexican Restaurant, LLC",200700002.0,3.0,2226.93,2007.91,219.02,699.0,479.98,219.02,74.47,63.52,10.95
69,Albion,"Spare Time, LLC",180701445.0,6.0,3338745.84,3054784.56,283961.28,1022880.0,738918.04,283961.96,96053.21,81855.09,14198.12
70,Aledo,CASEY'S RETAIL COMPANY,210701098.0,6.0,60963.06,60160.01,803.05,21645.0,20841.95,803.05,273.03,232.88,40.15
71,Aledo,Cheers on Main LLC,190703515.0,6.0,6665832.69,6037140.95,628691.74,2052472.0,1423732.99,628739.01,213620.42,182183.4,31437.02
72,Aledo,"FERG'S PUBLIC HOUSE, INC.",170702358.0,5.0,3105711.36,2839384.41,266326.95,940623.0,674296.05,266326.95,90272.8,76956.41,13316.39
73,Aledo,Mac's Convenience Stores LLC,170704043.0,5.0,10668372.88,9687181.94,981190.94,2810804.0,1829613.06,981190.94,332686.51,283626.97,49059.54
74,Aledo,"Mercer County Post No.1571, Veterans of Foreign Wars of The United States",120910348.0,3.0,920848.59,838177.61,82670.98,319909.0,237238.02,82670.98,27866.76,23733.16,4133.6
75,Aledo,"Nolam, Inc.",120710598.0,6.0,9390494.62,8598518.13,791976.49,2937448.0,2145442.27,792005.73,267912.72,228312.37,39600.35
76,Aledo,Oak View Country Club,120709717.0,3.0,1649192.35,1519964.94,129227.41,456687.0,327459.54,129227.46,43756.38,37295.03,6461.35
77,Aledo,"Singh & Kaur, LLC",170704347.0,5.0,997805.03,920503.21,77301.82,273223.0,195921.18,77301.82,25509.56,21644.45,3865.11
78,Alexander County,"Cop Brothers, LLC",180702272.0,6.0,9277928.52,8468300.86,809627.66,2687957.0,1878328.89,809628.11,274411.2,233929.72,40481.48
79,Alexander County,"Fill - Up Mart, Inc.",140703455.0,6.0,10351995.13,9504792.44,847202.69,3192882.0,2345679.22,847202.78,286849.53,244489.27,42360.26
80,Alexander County,"Horseshoe Bar & Grill, LLC",170700016.0,4.0,6542867.55,6050149.0,492718.55,2217862.0,1725143.29,492718.71,167063.53,142427.56,24635.97
81,Alexander County,Tom's Fish Place LLC,220701730.0,3.0,272119.18,248270.75,23848.43,72336.0,48487.57,23848.43,8108.42,6916.02,1192.4
82,Alexis,"Allgeyer, LLC",170704137.0,4.0,5182558.05,4733622.8,448935.25,1934480.0,1485544.75,448935.25,152111.48,129664.65,22446.83
83,Alexis,TROUT INCORPORATED,180703627.0,4.0,2780648.8,2537077.51,243571.29,945478.0,701906.66,243571.34,82551.71,70373.11,12178.6
84,Algonquin,Algonquin Commons Co.,170703277.0,6.0,7920408.34,7231212.94,689195.4,2698499.0,2009303.55,689195.45,233615.17,199155.29,34459.88
85,Algonquin,ALGONQUIN SUSHI KING INC.,160702801.0,5.0,4326431.05,3999528.75,326902.3,1451982.0,1125079.35,326902.65,110439.56,94094.41,16345.15
86,Algonquin,"Battaglia's Pizza, Inc.",120702280.0,6.0,12678901.81,11624523.48,1054378.33,3723386.0,2668987.65,1054398.35,356439.41,303719.31,52720.1
87,Algonquin,"Bull's Eye Pub & Eatery, LLC",190700461.0,5.0,6320442.62,5747268.11,573174.51,2383945.0,1810770.29,573174.71,194879.52,166220.78,28658.74
88,Algonquin,"Cattlemans Burger & Brew, Inc.",190700240.0,4.0,2918721.31,2667978.18,250743.13,1048164.0,797420.55,250743.45,84840.09,72302.88,12537.21
89,Algonquin,CHINA DRAGON 1 INCORPORATED,170701581.0,5.0,8289323.94,7612764.28,676559.66,2457057.0,1780301.32,676755.68,229541.35,195703.59,33837.76
90,Algonquin,"Colatorti, Inc.",180702263.0,5.0,3528956.15,3194508.6,334447.55,1369914.0,1035466.65,334447.35,113219.34,96496.95,16722.39
91,Algonquin,"D'VINE WINE CRAFTERS, LLC",160703700.0,4.0,318114.4,294261.2,23853.2,122983.0,99129.8,23853.2,7957.89,6765.19,1192.7
92,Algonquin,"Donkey Inn Bar And Grill, Inc.",170701818.0,5.0,19266816.96,17638172.16,1628644.8,6130550.0,4501904.56,1628645.44,551688.63,470256.31,81432.32
93,Algonquin,"GCI Consolidated, LLC",130704024.0,5.0,6206828.92,5639231.28,567597.64,2266768.0,1699170.36,567597.64,192387.9,164007.9,28380.0
94,Algonquin,HBJ Corp.,160703581.0,5.0,5475513.32,5013587.52,461925.8,1773946.0,1312020.2,461925.8,156649.79,133553.48,23096.31
95,Algonquin,"Iron Horse Bar & Grill, Inc.",150701853.0,6.0,14752314.6,13389210.51,1363104.09,4876703.0,3513436.57,1363266.43,461631.56,393468.19,68163.37
96,Algonquin,"JTATB, Inc.",120703481.0,4.0,15773142.05,14358500.75,1414641.3,5996346.0,4581704.91,1414641.09,478833.69,408101.62,70732.07
97,Algonquin,La Palma Mexican Cuisine Inc.,180701673.0,2.0,1072.79,927.89,144.9,473.0,328.04,144.96,47.83,40.58,7.25
98,Algonquin,"LEISERV, LLC",140701296.0,5.0,4958432.39,4522634.5,435797.89,1633633.0,1197802.49,435830.51,147535.8,125744.2,21791.6
99,Algonquin,"PORT EDWARD RESTAURANT, L.L.C.",140700890.0,5.0,5367818.76,4934953.13,432865.63,2008794.0,1575902.38,432891.62,146299.09,124654.47,21644.62
100,Algonquin,"PPB RESTAURANT, INC.",130702313.0,5.0,8342935.03,7601779.49,741155.54,2665896.0,1924737.18,741158.82,250828.8,213770.82,37057.98
101,Algonquin,Tap House Grill Algonquin LLC,210703077.0,5.0,1025141.29,928850.93,96290.36,365509.0,269218.16,96290.84,32739.17,27924.59,4814.58
102,Algonquin,"Vapari, Inc.",120700207.0,5.0,12477968.38,11461750.07,1016218.31,4134527.0,3118308.69,1016218.31,344189.42,293378.49,50810.93
103,Alhambra,Brian E. Lutz,120700318.0,5.0,1732465.04,1598897.13,133567.91,583030.0,449462.06,133567.94,45094.46,38416.02,6678.44
104,Alhambra,"Maedge's Mini Mart, LLC",120700552.0,5.0,5765822.24,5257608.42,508213.82,1790873.0,1282659.18,508213.82,172377.67,146966.94,25410.73
105,Alhambra,"Slots & Slices, Inc.",220700072.0,6.0,1224388.74,1114024.14,110364.6,442776.0,332410.63,110365.37,37524.53,32006.2,5518.33
106,Alorton,Alorton Crossings L.L.C.,170702047.0,6.0,3332983.63,3059556.03,273427.6,1242306.0,968878.4,273427.6,91323.44,77652.04,13671.4
107,Alorton,Good Fellas Tavern LLC,190702965.0,6.0,834846.98,775546.5,59300.48,302319.0,243018.13,59300.87,20162.52,17197.43,2965.09
108,Alorton,"Jacobo, Inc.",190701833.0,5.0,7894665.62,7208749.4,685916.22,3161799.0,2475876.89,685922.11,232892.84,198596.71,34296.13
109,Alorton,Pilot Travel Centers LLC,121009156.0,6.0,47530198.39,42623457.66,4906740.73,14824899.0,9918275.79,4906623.21,1659589.87,1414258.68,245331.19
110,Alorton,"Valens Management, Inc.",210700567.0,6.0,7319745.35,6649563.89,670181.46,2665205.0,1995023.5,670181.5,227862.01,194352.89,33509.12
111,Alpha,Alpha Haus LLC,220703345.0,3.0,51113.11,47009.51,4103.6,20808.0,16704.4,4103.6,1395.32,1190.13,205.19
112,Alpha,"GURAYA, INC.",190700599.0,5.0,6887114.44,6255835.28,631279.16,2121072.0,1489725.31,631346.69,214279.14,182711.78,31567.36
113,Alpha,"NUTTYPRISES, LLC",220703679.0,6.0,634471.97,568409.37,66062.6,243221.0,177158.4,66062.6,22461.37,19158.22,3303.15
114,Alsey,"Back Door Gaming And Collectibles, Inc.",180700007.0,6.0,11526801.39,10592641.66,934159.73,3747560.0,2813399.15,934160.85,316397.87,269689.84,46708.03
115,Alsey,"Grand Slam Bar & Grill, LLC",200702448.0,6.0,2914208.23,2682763.18,231445.05,972557.0,741111.75,231445.25,78691.73,67119.4,11572.33
116,Alsip,"5025 ALSIP, CORP.",210701554.0,5.0,9796988.59,8898961.21,898027.38,2973904.0,2075796.13,898107.87,305356.98,260451.56,44905.42
117,Alsip,ALSIP BP INC.,200701804.0,5.0,20234298.22,18646327.31,1587970.91,6793838.0,5205867.09,1587970.91,539910.87,460512.25,79398.62
118,Alsip,"ALSIP MARATHON, INC.",190703587.0,6.0,25047461.29,22702720.26,2344741.03,7373164.0,5028296.57,2344867.43,797255.24,680011.79,117243.45
119,Alsip,"Alsip Memorial V.F.W. Post 450, Inc.",120907757.0,6.0,13663268.63,12609995.19,1053273.44,4585639.0,3532286.91,1053352.09,356149.86,303482.22,52667.64
120,Alsip,ALSIP PARK DISTRICT,180701743.0,5.0,3858627.4,3564558.78,294068.62,1209552.0,915483.38,294068.62,99376.1,84672.58,14703.52
121,Alsip,"ALSIP RESTAURANT AND LOUNGE, INC.",130700172.0,6.0,23282211.22,21462075.23,1820135.99,7044259.0,5224037.07,1820221.93,616117.21,525106.06,91011.15
122,Alsip,ALSIP SIMPLE MART INC.,190703588.0,6.0,16359787.76,14814498.93,1545288.83,5912921.0,4367632.17,1545288.83,525398.64,448134.17,77264.47
123,Alsip,"Beg Snake Johnson, LLC",120701150.0,6.0,13812800.93,12703879.18,1108921.75,4083487.0,2974565.25,1108921.75,375478.67,320032.55,55446.12
124,Alsip,"Blackhawk Restaurant Group, LLC Series APAlsip",130702143.0,6.0,45445150.23,41732432.27,3712717.96,15470559.0,11757841.04,3712717.96,1256746.17,1071110.31,185635.86
125,Alsip,"C.C.A.A., Incorporated",160701492.0,6.0,5731519.02,5249306.88,482212.14,2258733.0,1776521.21,482211.79,163146.0,139035.31,24110.69
126,Alsip,Deuces Alsip LLC,200700651.0,6.0,18530661.15,16846962.17,1683698.98,6651295.0,4967596.02,1683698.98,572457.94,488272.93,84185.01
127,Alsip,"ELITE GROUP ENTERTAINMENT, INC.",200700388.0,6.0,25211288.31,22956727.59,2254560.72,8769048.0,6514487.28,2254560.72,766550.52,653822.5,112728.02
128,Alsip,"Illinois Café & Service Company, LLC",130704838.0,6.0,31140757.27,28562790.22,2577967.05,10343625.0,7765651.96,2577973.04,872834.33,743935.67,128898.66
129,Alsip,IMPERIAL PLACE INC.,190701454.0,6.0,19017293.92,17545785.76,1471508.16,6075777.0,4604254.28,1471522.72,499083.57,425507.3,73576.27
130,Alsip,"Jokers Alsip, Inc.",210700233.0,5.0,1542223.73,1389170.06,153053.67,609366.0,456312.15,153053.85,52038.84,44386.05,7652.79
131,Alsip,"KATIE'S GAMING CAFE, INC.",200702498.0,6.0,21231046.83,19471291.94,1759754.89,7533408.0,5773639.51,1759768.49,598321.28,510332.9,87988.38
132,Alsip,"LENNY'S GAS N WASH 127TH AND KOSTNER, LLC",211003784.0,10.0,24709515.74,22627968.64,2081547.1,8966005.0,6884281.76,2081723.24,707786.21,603700.03,104086.18
133,Alsip,MARD GAS STATION LLC,210700297.0,6.0,12935295.4,11940131.21,995164.19,4568986.0,3573821.81,995164.19,338356.25,288598.01,49758.24
134,Alsip,"NICK'S B.B.Q., INC.",170704232.0,6.0,14129086.02,12910377.07,1218708.95,4996072.0,3777362.79,1218709.21,412436.96,351501.5,60935.46
135,Alsip,Pilot Travel Centers LLC,151003543.0,6.0,47384868.22,42535453.51,4849414.71,16754124.0,11904561.78,4849562.22,1643279.05,1400800.83,242478.22
136,Alsip,"Red Shoe Billiards, Inc.",120705741.0,6.0,13208831.88,12113086.14,1095745.74,4385223.0,3289477.43,1095745.57,370593.01,315805.7,54787.31
137,Alsip,"Simon Oil Inc.,",200700275.0,6.0,14031802.85,12736054.07,1295748.78,4647767.0,3352002.15,1295764.85,440560.55,375772.22,64788.33
138,Alsip,"Stella's - Quarry Plaza, LLC",150701416.0,6.0,32572537.95,29633024.84,2939513.11,10094830.0,7155308.39,2939521.61,995378.13,848402.05,146976.08
139,Alsip,"TARIQ, INC.",190703882.0,5.0,4596560.53,4226891.12,369669.41,1622445.0,1252775.59,369669.41,125688.19,107204.62,18483.57
140,Alsip,The Idler Corporation,120701209.0,6.0,29914334.42,27518996.08,2395338.34,9825168.0,7429829.66,2395338.34,811652.38,691885.35,119767.03
141,Alsip,Village Sportsmens Club,140703011.0,6.0,14025321.43,12860966.05,1164355.38,4908065.0,3743709.38,1164355.62,394420.07,336202.18,58217.89
142,Alsip,"Xiomara & Kamotas, Inc.",130704109.0,5.0,629411.1,572804.79,56606.31,216452.0,159845.69,56606.31,18679.91,15849.62,2830.29
143,Altamont,"Bella's Enterprises, LLC",180703961.0,6.0,9675434.43,8947572.96,727861.47,3160260.0,2432398.3,727861.7,246143.78,209750.66,36393.12
144,Altamont,"Fred and Scottmo Enterprises, LLC",170702964.0,5.0,3762336.78,3462654.98,299681.8,1262720.0,963037.84,299682.16,101594.19,86610.04,14984.15
145,Altamont,"MJC Altamont, Inc.",130704401.0,4.0,3559283.59,3306685.97,252597.62,1005973.0,753375.17,252597.83,85676.1,73046.17,12629.93
146,Altamont,"Ramsey Enterprises, LLC",160701987.0,3.0,1704690.2,1597438.22,107251.98,364913.0,257660.64,107252.36,36294.64,30931.95,5362.69
147,Altamont,"Sporty's Beverage Connection, LLC",160701484.0,6.0,1768054.5,1624154.57,143899.93,484543.0,340642.39,143900.61,47487.07,40292.05,7195.02
148,Altamont,VFW Post 7676 Gieseking-Schwerdtfeger,120902193.0,5.0,3351924.91,3061374.63,290550.28,943002.0,652446.87,290555.13,98413.39,83885.52,14527.87
149,Altamont,Whistle Stop Saloon LLC,160701144.0,6.0,6725111.66,6210218.45,514893.21,1955749.0,1440855.79,514893.21,174307.28,148562.63,25744.65
150,Altamont,Wortman Holdings LLC,201001805.0,10.0,40874288.45,37638864.61,3235423.84,12269274.0,9033738.28,3235535.72,1099605.29,937828.45,161776.84
151,Alto Pass,Dutys Country Store LLC,180703390.0,4.0,3979940.82,3713544.3,266396.52,935865.0,669468.48,266396.52,90405.35,77085.5,13319.85
152,Alton,Alton KG Management LLC,150701239.0,3.0,2626628.15,2419171.63,207456.52,785081.0,577604.48,207476.52,69916.29,59542.41,10373.88
153,Alton,Alton Owls' Club,120713090.0,5.0,6514959.42,6108518.77,406440.65,1459045.0,1052584.35,406460.65,137481.23,117158.12,20323.11
154,Alton,Alton Post #126 American Legion,120911002.0,4.0,1606013.15,1473691.78,132321.37,453940.0,321618.63,132321.37,44809.77,38193.69,6616.08
155,Alton,"Alton Post 1308, Veterans of Foreign Wars of the United States",120901471.0,6.0,9453311.76,8696664.02,756647.74,2708905.0,1952212.26,756692.74,256057.92,218223.12,37834.8
156,Alton,Alton Truck Stop LLC,140702039.0,6.0,37528120.26,34387609.66,3140510.6,11339977.0,8199443.0,3140534.0,1063583.36,906556.52,157026.84
157,Alton,"BLUFF CITY GRILL, LLC",160703352.0,6.0,6340913.56,5823719.72,517193.84,2124456.0,1607257.16,517198.84,174904.62,149044.66,25859.96
158,Alton,"Bubby & Sissy's, Inc.",130705548.0,4.0,3980616.52,3709184.36,271432.16,1142682.0,871249.83,271432.17,91974.22,78402.53,13571.69
159,Alton,"CATDADDY'S, INC.",140701301.0,6.0,6070444.33,5571274.93,499169.4,1857770.0,1358599.66,499170.34,168991.37,144032.84,24958.53
160,Alton,Decaro/Smith Corporation,210701368.0,3.0,205338.2,185002.87,20335.33,76840.0,56504.5,20335.5,6914.28,5897.48,1016.8
161,Alton,"Dottie's Tavern, Inc.",190702202.0,5.0,736787.81,679388.15,57399.66,235918.0,178518.34,57399.66,19193.45,16323.46,2869.99
162,Alton,"FAST EDDIE'S BON-AIR, INC.",120700205.0,6.0,20301000.8,18733068.85,1567931.95,6504343.0,4936385.65,1567957.35,530833.28,452435.43,78397.85
163,Alton,"Fork Restaurant Group Alton, LLC",160702781.0,6.0,27727618.64,25321735.77,2405882.87,8777046.0,6371063.83,2405982.17,814924.77,694625.61,120299.16
164,Alton,"Four Siblings, LLC",120700641.0,6.0,13275155.02,12191556.43,1083598.59,3941752.0,2858153.2,1083598.8,367235.66,313055.73,54179.93
165,Alton,Heaterz LLC,220701072.0,6.0,639458.96,593707.41,45751.55,223722.0,177970.45,45751.55,15555.58,13268.0,2287.58
166,Alton,Jazz Like Blues LLC,200701838.0,6.0,2451759.76,2247183.16,204576.6,815542.0,610965.4,204576.6,69556.06,59327.22,10228.84
167,Alton,"Johnson's Corner, Inc.",120704189.0,4.0,5319911.11,4878230.51,441680.6,1732474.0,1290773.4,441700.6,149653.57,127568.46,22085.11
168,Alton,"Kopp's Korner, Inc.",120708462.0,5.0,4957135.85,4494452.6,462683.25,1467498.0,1004814.68,462683.32,156675.31,133541.03,23134.28
